topic,feature,describe
感情線(天紋),乾宮上有一紋與感情線相接,感情理智，不會因感情誤事；與父母的緣份較淺，易離鄉在外，貴人在遠處，適合離鄉發展。有此紋者，忌事業線，但若有一清楚沉明的太陽線則大有助益，雖不合適當老闆，但可成為企業中的中、高主管階級，適合當執行者，不合適當決策者。需要他人的幫助才能成就事業
感情線(天紋),感情線有二、三條，並列而行,異性緣很好，禁不起誘惑，迷迷糊糊就有婚外情，因此而得到社會的批評。
感情線(天紋),感情線有二、三條，而線的長短不齊,具齊人之福，不論男女，另一半皆可與自已的其他對象相處得宜，親如姐妹、兄弟。
感情線(天紋),感情線有二、三條,感情、婚姻易有第三者出現，二人相處之間，若不是分居、經常分離或是離婚，就是自已命短。
感情線(天紋),感情線與生命線、智慧線相交，橫越手掌,此為斷掌掌紋，為人個性固執、難溝通，學識及知識豐富，多成就，可白手起家、創業，經營事業而賺大錢。有此紋者，男生大多負有自信；女生則因個性影響，容易獨守空閨。
感情線(天紋),感情線上結果球狀,事業方面不可貪心，唯有腳踏實地，做事要謹慎、懂得自我反省，才能得到成功。
感情線(天紋),感情線上呈丸狀,感情多難圓滿，戀愛多失敗，感情方面較為花心，情敵多報復性。
感情線(天紋),感情線分岔,經驗戲劇性的相逢與命中註定的分離。
感情線(天紋),感情線有許多支線,愛情不專，辭彙豐富，好說話
感情線(天紋),感情線與智慧線交叉,個性神經質，纖細脆弱，易受傷害
感情線(天紋),感情線與智慧線重疊,視死如歸的熱情者
感情線(天紋),感情線止於無名指,個性任性、不聽他人勸告
感情線(天紋),感情線終止於食指,個性自私自利
感情線(天紋),感情線上有不少條細斜線,表示此人有心臟病，而且可能情場失意，情緒陷入低潮之中。
感情線(天紋),感情線上有一條線深劃之線穿過,表示其從患有高血壓或易罹患中風。
感情線(天紋),十字紋在感情線和智慧線之間,表示其人戀愛必能成功。
感情線(天紋),感情線上有十字紋，或梯狀鋸狀,表示此人在事業、學業或生活上，會受愛情牽累，或其所愛之人有死亡傾向。
感情線(天紋),感情線上有不少小橫線穿過,表示此人喜愛奉承他人，但其愛情生活常發生痛苦或失敗。
感情線(天紋),感情線上如果出現島紋,表示此人愛情不能始終如一，而且對朋友也不能忠貞不二。
感情線(天紋),感情線呈鏈狀,必好淫亂，同時擁有許多情人，常有桃色事件發生，然愛情都不持久，因太過於縱情色慾而會遭到悲哀和失敗。喜雄辯，愛說人事非，撒謊者。
感情線(天紋),感情線的尾端出現三叉狀,具有博愛精神，有犧牲自己的利益，來造福眾人，且因其本身修養，而在感情上有所收穫。
感情線(天紋),感情線起分叉，尾端也分叉,為人誠實，對愛情很專一，不談戀愛則已，一談必付出真心，這種人因為過顧慷慨，交友務必小心，防小人之害。
感情線(天紋),感情線末端分叉為兩線，一向上指木星丘，一向下指火星丘,談戀愛熱也快冷也快，在情場中打滾導致一事無成，只有徒嘆命薄。此紋如在女性手上，又名秋波紋，表示其必有一雙美目，秋波一轉顛倒眾生。
感情線(天紋),感情線有雙重，成為姐妹線,感情豐富而且多情。這種人對女人有一套本領，情場失敗毫不在乎，有朝秦暮楚的本領，但與拈花惹草之徒不太相同。
感情線(天紋),感情線末端與智慧線連接甚密，智慧線尾端又有一支線下至小姆下方,表示理智被感情控制，盲目戀愛，會奉獻一切給戀人，若感情一互破裂即承受不了打擊甚至有殉情可能。
感情線(天紋),感情線若與智慧線合而為一(斷掌型),表示此人性情堅定，感情專一，且自私自利觀性極強，性情孤僻，動輒與他人發生爭吵打架，此人親友不相往來，容易衝動而肇事。
感情線(天紋),感情線中斷，且斷痕長,表示其一生中，如果沒有嘗到失戀的滋味，可能婚姻會遭到破裂。感情線在中途斷開，代表可能會離婚一次，愛情的困擾不斷。
感情線(天紋),感情線斷了又續,朋友多小人，事業方面容易受欺騙，被坑。凡事只有五分鐘的熱度，夫妻感情不佳，少有體貼。
感情線(天紋),感情線明顯的斷成了二、三截,感情、婚姻路難走，對方易有婚外情，或是第三者介入，感情主導權在對方身上，一切的不滿、不平只能忍耐，若為此起爭吵，最後只有分手下場。
感情線(天紋),感情線斷斷續續，或呈現破裂狀,表示了此人做事反覆無常，感情方面難圓滿，夫妻感情多阻礙，感情較極端、強烈，易怨恨異性，報復心強。其事業多成多敗，或在色情方面捐亂，只重肉慾感受，不重視感情培養。
感情線(天紋),感情線起自中途而且很短,顯示其人另有利己損人之相，少道德觀念，夫妻少團圓，親朋沒依靠，常會責怪別人，從不檢討自己，做人也不成功。
